epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2149,2.4044,2.47373,1.44808,0.45757,0.32517,0.3903,0.18245,2.03703,2.07556,1.24276,0.000470981,0.000470981,0.000470981
2,54.1707,2.16756,1.52316,1.28985,0.50506,0.39309,0.42689,0.19133,2.26732,1.95795,1.30261,0.000937936,0.000937936,0.000937936
3,83.1771,2.10438,1.44141,1.26645,0.57158,0.51551,0.49602,0.20583,2.23014,1.8188,1.3272,0.00139546,0.00139546,0.00139546
4,113.274,2.06951,1.40895,1.26941,0.58536,0.51685,0.50765,0.22644,2.29619,1.9254,1.32837,0.00138656,0.00138656,0.00138656
5,143.543,2.03315,1.34987,1.23433,0.61014,0.5867,0.5826,0.27052,2.06783,1.70578,1.22077,0.00137241,0.00137241,0.00137241
6,174.233,2.00505,1.31412,1.22513,0.61317,0.5474,0.51331,0.237,2.29104,1.61231,1.29287,0.00135826,0.00135826,0.00135826
7,204.673,2.00277,1.31993,1.22594,0.62573,0.56427,0.55574,0.2401,2.20354,1.6518,1.2693,0.00134412,0.00134412,0.00134412
8,236.309,1.98442,1.29527,1.21612,0.63178,0.59079,0.57319,0.24941,2.07018,1.78016,1.23684,0.00132997,0.00132997,0.00132997
9,267.369,1.96095,1.25997,1.20997,0.6139,0.61079,0.60579,0.26928,2.01031,1.34417,1.20512,0.00131582,0.00131582,0.00131582
10,298.04,1.96344,1.2661,1.20713,0.65155,0.63033,0.63174,0.28426,2.04659,1.74718,1.19798,0.00130168,0.00130168,0.00130168
11,328.63,1.92547,1.25078,1.19717,0.63795,0.56551,0.56994,0.24161,2.3199,1.5321,1.29996,0.00128753,0.00128753,0.00128753
12,359.543,1.93436,1.22359,1.18826,0.70155,0.61313,0.64612,0.30673,1.83426,1.23724,1.14835,0.00127338,0.00127338,0.00127338
13,390.537,1.92426,1.22469,1.19644,0.69292,0.62026,0.65078,0.31157,1.8893,1.25313,1.16244,0.00125923,0.00125923,0.00125923
14,420.869,1.90821,1.21519,1.19006,0.62375,0.61124,0.61492,0.27757,2.06773,1.71273,1.20096,0.00124509,0.00124509,0.00124509
15,452.16,1.90984,1.19762,1.17718,0.70478,0.60698,0.65206,0.31056,1.8294,1.2463,1.16706,0.00123094,0.00123094,0.00123094
16,483.315,1.90146,1.19693,1.18639,0.71698,0.61271,0.64935,0.31266,1.92776,1.23884,1.15756,0.00121679,0.00121679,0.00121679
17,514.229,1.88072,1.17062,1.16749,0.6676,0.63555,0.65664,0.30519,1.93176,1.53119,1.16815,0.00120265,0.00120265,0.00120265
18,545.029,1.87969,1.17861,1.17047,0.70783,0.59948,0.63524,0.28618,2.02136,1.29463,1.19203,0.0011885,0.0011885,0.0011885
19,576.183,1.87173,1.16966,1.17373,0.73382,0.59538,0.64938,0.29843,1.9202,1.2816,1.17552,0.00117435,0.00117435,0.00117435
20,607.975,1.88281,1.1677,1.16909,0.68322,0.60321,0.62054,0.28986,2.01238,1.35786,1.18355,0.00116021,0.00116021,0.00116021
21,639.797,1.85216,1.14671,1.16206,0.66371,0.61941,0.62172,0.29182,2.06494,1.42284,1.19993,0.00114606,0.00114606,0.00114606
22,671.455,1.87396,1.14828,1.16384,0.69811,0.64492,0.68349,0.34399,1.75612,1.21861,1.1239,0.00113191,0.00113191,0.00113191
23,703.21,1.8643,1.13916,1.15924,0.75063,0.60064,0.66824,0.30861,1.92598,1.21702,1.16095,0.00111776,0.00111776,0.00111776
24,734.518,1.83807,1.13271,1.15995,0.70808,0.64963,0.67574,0.31538,1.94506,1.30261,1.1703,0.00110362,0.00110362,0.00110362
25,766.032,1.84498,1.11835,1.15431,0.71358,0.61915,0.66667,0.31234,1.91084,1.22697,1.15829,0.00108947,0.00108947,0.00108947
26,797.226,1.84362,1.12558,1.14931,0.7057,0.6515,0.67867,0.31846,1.89956,1.29532,1.14996,0.00107532,0.00107532,0.00107532
27,828.022,1.82415,1.1049,1.15434,0.7316,0.59406,0.65053,0.29449,1.99994,1.28285,1.17815,0.00106118,0.00106118,0.00106118
